10,Lochfog,Wellport
Freybridge,Prybridge,16
Freybridge,Shadowsilver,15
Freybridge,Coastwald,28
Freybridge,Lochfog,32
Freybridge,Wellport,14
Freybridge,Shadowcastle,34
Freybridge,Norwall,17
Freybridge,Crystalhollow,13
Freybridge,Greymead,28
Prybridge,Freybridge,16
Prybridge,Shadowsilver,1
Prybridge,Coastwald,12
Prybridge,Lochfog,16
Prybridge,Wellport,2
Prybridge,Shadowcastle,18
Prybridge,Norwall,1
Prybridge,Crystalhollow,3
Prybridge,Greymead,12
Shadowsilver,Freybridge,15
Shadowsilver,Prybridge,1
Shadowsilver,Coastwald,13
Shadowsilver,Lochfog,17
Shadowsilver,Wellport,1
Shadowsilver,Shadowcastle,19
Shadowsilver,Norwall,2
Shadowsilver,Crystalhollow,2
Shadowsilver,Greymead,13
Coastwald,Freybridge,28
Coastwald,Prybridge,12
Coastwald,Shadowsilver,13
Coastwald,Lochfog,4
Coastwald,Wellport,14
Coastwald,Shadowcastle,6
Coastwald,Norwall,11
Coastwald,Crystalhollow,15
Coastwald,Greymead, 30
Lochfog,Freybridge,32
Lochfog,Prybridge,16
Lochfog,Shadowsilver,17
Lochfog,Coastwald,4
Lochfog,Wellport,18
Lochfog,Shadowcastle,2
Lochfog,Norwall,15
Lochfog,Crystalhollow,19
Lochfog,Greymead,4
Wellport,Freybridge,14
Wellport,Prybridge,2
Wellport,Shadowsilver,1
Wellport,Coastwald,14
Wellport,Lochfog,18
Wellport,Shadowcastle,20
Wellport,Norwall,3
Wellport,Crystalhollow,1
Wellport,Greymead,14
Shadowcastle,Freybridge,34
Shadowcastle,Prybridge,18
Shadowcastle,Shadowsilver,19
Shadowcastle,Coastwald,6
Shadowcastle,Lochfog,2
Shadowcastle,Wellport,20
Shadowcastle,Norwall,17
Shadowcastle,Crystalhollow,21
Shadowcastle,Greymead,6
Norwall,Freybridge,17
Norwall,Prybridge,1
Norwall,Shadowsilver,2
Norwall,Coastwald,11
Norwall,Lochfog,15
Norwall,Wellport,3
Norwall,Shadowcastle,17
Norwall,Crystalhollow,4
Norwall,Greymead,11
Crystalhollow,Freybridge,13
Crystalhollow,Prybridge,3
Crystalhollow,Shadowsilver,2
Crystalhollow,Coastwald,15
Crystalhollow,Lochfog,19
Crystalhollow,Wellport,1
Crystalhollow,Shadowcastle,21
Crystalhollow,Norwall,4
Crystalhollow,Greymead,15
Greymead,Freybridge,28
Greymead,Prybridge,12
Greymead,Shadowsilver,13
Greymead,Coastwald,30
Greymead,Lochfog,4
Greymead,Wellport,14
Greymead,Shadowcastle,6
Greymead,Norwall,11
Greymead,Crystalhollow,15
